Iteration,Full_Dataset_Recall
1,0.7551020408163265
2,0.7551020408163265
3,0.8163265306122449
4,0.7755102040816326
5,0.8163265306122449
6,0.8
7,0.82
8,0.7551020408163265
9,0.7346938775510204
10,0.7551020408163265
11,0.7142857142857143
12,0.7551020408163265
13,0.7346938775510204
14,0.8367346938775511
15,0.7551020408163265
16,0.8
17,0.78
18,0.8571428571428571
19,0.673469387755102
20,0.7959183673469388
21,0.7959183673469388
22,0.673469387755102
23,0.6938775510204082
24,0.9183673469387755
25,0.7346938775510204
26,0.8
27,0.78
28,0.7551020408163265
29,0.6938775510204082
30,0.8571428571428571
