Iteration,Full_Dataset_Recall
1,0.5714285714285714
2,0.5918367346938775
3,0.6122448979591837
4,0.6530612244897959
5,0.6122448979591837
6,0.6
7,0.6
8,0.673469387755102
9,0.6938775510204082
10,0.6326530612244898
11,0.6530612244897959
12,0.5918367346938775
13,0.5714285714285714
14,0.6122448979591837
15,0.5510204081632653
16,0.62
17,0.64
18,0.7142857142857143
19,0.5306122448979592
20,0.6530612244897959
21,0.7142857142857143
22,0.5918367346938775
23,0.42857142857142855
24,0.7551020408163265
25,0.6122448979591837
26,0.62
27,0.7
28,0.6122448979591837
29,0.4897959183673469
30,0.6938775510204082
