Iteration,PCA_Only_Dataset_Recall
1,0.8571428571428571
2,0.7959183673469388
3,0.8571428571428571
4,0.8163265306122449
5,0.8775510204081632
6,0.84
7,0.76
8,0.8163265306122449
9,0.8571428571428571
10,0.8163265306122449
11,0.8163265306122449
12,0.8367346938775511
13,0.7959183673469388
14,0.8979591836734694
15,0.7755102040816326
16,0.82
17,0.82
18,0.8979591836734694
19,0.7959183673469388
20,0.8367346938775511
21,0.8571428571428571
22,0.7755102040816326
23,0.7551020408163265
24,0.9387755102040817
25,0.8163265306122449
26,0.78
27,0.84
28,0.8163265306122449
29,0.7755102040816326
30,0.9387755102040817
